EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-71500057	IDR-App-01-08, 00023	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VI[I G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500058	IDR-App-01-08, 00024	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VI[I G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500059	IDR-App-01-08, 00025	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII [G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500060	IDR-App-01-08, 00026	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII [G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500061	IDR-App-01-08, 00027	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VI[I G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500062	IDR-App-01-08, 00028	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) V[II G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500063	IDR-App-01-08, 00029	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) V[II G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500064	IDR-App-01-08, 00030	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) V[II G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500065	IDR-App-01-08, 00031	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) V[II G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500066	IDR-App-01-08, 00032	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) V[II G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500067	IDR-App-01-08, 00033	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) [VII G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500068	IDR-App-01-08, 00034	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) [VII G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500069	IDR-App-01-08, 00035	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) V[II G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500070	IDR-App-01-08, 00036	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) V[II G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500071	IDR-App-01-08, 00037	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) V[II G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500072	IDR-App-01-08, 00038	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VI[I G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500073	IDR-App-01-08, 00039	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) [VII G(emina) F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500074	IDR-App-01-08, 00040	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) [F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500075	IDR-App-01-08, 00041	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"[L(egio)] VII G(emina) F(elix)
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500076	IDR-App-01-08, 00042	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"[L(egio)] VII G(emina) F(elix)
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500077	IDR-App-01-08, 00043	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"[L(egio)] VII G(emina) F(elix)
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500078	IDR-App-01-08, 00044	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"[L(egio)] VII G(emina) F(elix)
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500079	IDR-App-01-08, 00045	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"[L(egio)] VII G(emina) F(elix)
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500080	IDR-App-01-08, 00046	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"[L(egio)] VII G(emina) F(elix)
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
